event_name,date,start_date,end_date,start_time,end_time,description,teamapp_url,category,category_key,event_id
PADI Open water course,2022-01-22,2022-01-22,2022-01-29,00:00,23:59,"Welcome to the Open Water Course!\n\nPlease respond to this event only after you have been in touch with us and got a spot confirmation. \n\n\nPlease use chat within this event for questions and organizational matters.\n\nStudents, please make sure to subscribe to notifications on this event and the one created for the following training weekend to stay updated!\n\nStudents have to be double vaxed\n\nCourse outline (subject to change depending on the weather or other reasons)\n\nOrientation date will commence near starting period\n\nEnjoy your training!",https://muuc.teamapp.com/clubs/132307/events/15808462,Courses,courses,15808462
TemplateTrip - Duplicate by pressing Duplicate,2022-01-27,2022-01-27,2022-01-27,00:00,23:59,"**—Essential Trip Info—**
\n**Trip Leader**:
\n**Leader Phone**:
\n**Secondary Trip Contact**:
\n**Trip Type**:  <Boat/Shore>
\n**Difficulty**: <OW/AOW/etc>
\n**No. of Planned Dives**: 2
\n**Mandatory Equipment**: <SMB>
\n**Please note that the event start time is the meeting time at the shed unless stated otherwise in the briefing**
\n
\n**—Briefing—** 
\n**Water Temperature**: <XXC> 
\n**Weather Conditions**:
\n<Specify, eg. Expect wind, bring warm clothes and sea-sickness pills.>
\n
\n**Description**\n\n——
\n**Gear Hire Policy**\nPlease bring a valid Photo-ID (to be deposited for the hire duration) to hire gear and ensure you have already paid the one-off gear hire deposit. 
\n
\n**—COVID Safety—** 
\n- You must be fully vaccinated to attend or work the event unless you have a valid medical exemption. 
\n- Complete a symptom self-assessment prior to leaving home. Do not come to the event if you are unwell, even with very mild symptoms
\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: 
\n**Runny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing**
\n- Maintain 1.5 metres distance from others during the event, where possible.
\n- Do not come to the event if you are required to isolate or quarantine for any reason and/or you are awaiting results of a COVID-19 test.
\n- Minimise movement as much as possible by staying within your allotted space or seat.
\n- Follow directions for face coverings and hygiene during the event.
\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. 
\n- Please refer to University Coronavirus Website for more information https://www.unimelb.edu.au/coronavirus as well as MUSport Guidelines: https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/16458708,Other,other,16458708
Double Cape Schanck dive -incredible forecast!,2022-01-27,2022-01-27,2022-01-27,06:30,17:30,"Essential Trip Info—\nTrip Leader: Andrea Ceriani - Andrew Hebbard\nLeader Phone: 0401 224 088\nSecondary Trip Contact: Andrea Ceriani 0449714402\nTrip Type: Boat \nDifficulty: OW with boat diving experience \nNo. of Planned Dives: 2pp\nMandatory Equipment: DSMB, catch bag if you think you might like a cray\nPlease note that the event start time is the meeting time at the shed unless stated otherwise in the briefing\n\n—Briefing— \nWater Temperature: 14\nWeather Conditions: 26 degrees, sunny\n\nDescription\nLets get back in the water for some diving this Thursday! We will be planning on diving some rare dive sites around cape schanck and flinders back beach \n\n—COVID Safety— \n- All participants must show Covid vaccine certificate (2Xdoses) prior to participation as per Melbourne University\n- Do not attend if you are feeling unwell, or experience any of the following symptoms: \nRunny nose / cough / aches / pain / nausea / vomiting / diarrhoea / sore throat / loss of smell or taste / fever / chills / nigh sweats / headache / difficulty breathing\n- Please familiarise yourself with hygiene protocols present in the club and use hand sanitisers\n- Our COVID-19 safety officer is Burak, you must notify him (or any available committee member) if you feel unwell after the trip, test positive, or have any other queries related to COVID-19 safety protocols. \n- Please refer to the “Educating your members” section of this link for current UoM Covid safety procedures and expectations. https://sport.unimelb.edu.au/play-sport/club-resources/club-return-to-sport",https://muuc.teamapp.com/clubs/132307/events/16444720,Other,other,16444720
